date,hotel_code,room_code,available
2024-09-06,GLMG,SK1A,0
2024-09-06,GLMG,ST2,0
2024-09-06,GLMG,ST2U,0
2024-09-06,GLMG,ST2V,0
2024-09-06,GLMG,ST2Y,0
2024-09-06,GLMG,ST2YV,0
2024-09-06,GLMG,XD2T,0
2024-09-06,GLMG,XD2TA,0
2024-09-06,GLMG,XKQYV,0
2024-09-07,GLMG,DK1,0
2024-09-07,GLMG,DK1V,0
2024-09-07,GLMG,DK1Y,0
2024-09-07,GLMG,DK1YV,0
2024-09-07,GLMG,DQ1,0
2024-09-07,GLMG,DQ1V,0
2024-09-07,GLMG,DQ1Y,0
2024-09-07,GLMG,DQ1YA,0
2024-09-07,GLMG,DQ1YV,0
2024-09-07,GLMG,DQ1YVA,0
2024-09-07,GLMG,SD1,0
2024-09-07,GLMG,SD1A,0
2024-09-07,GLMG,SD1U,0
2024-09-07,GLMG,SD1UA,0
2024-09-07,GLMG,SD1V,0
2024-09-07,GLMG,SD1Y,0
2024-09-07,GLMG,SD1YV,0
2024-09-07,GLMG,SD2,0
2024-09-07,GLMG,SD2U,0
2024-09-07,GLMG,SD2V,0
2024-09-07,GLMG,SDT,0
2024-09-07,GLMG,SDTU,0
2024-09-07,GLMG,SDTV,0
2024-09-07,GLMG,SDTVA,0
2024-09-07,GLMG,SDTY,0
2024-09-07,GLMG,SK1A,0
2024-09-07,GLMG,ST2,0
2024-09-07,GLMG,ST2U,0
2024-09-07,GLMG,ST2V,0
2024-09-07,GLMG,ST2Y,0
2024-09-07,GLMG,ST2YV,0
2024-09-07,GLMG,XD2T,0
2024-09-07,GLMG,XD2TA,0
2024-09-07,GLMG,XKQYV,0
2024-09-08,GLMG,DK1,0
2024-09-08,GLMG,DK1V,0
2024-09-08,GLMG,DK1Y,0
2024-09-08,GLMG,DK1YV,0
2024-09-08,GLMG,DQ1,0
2024-09-08,GLMG,DQ1V,0
2024-09-08,GLMG,DQ1Y,0
2024-09-08,GLMG,DQ1YA,0
2024-09-08,GLMG,DQ1YV,0
2024-09-08,GLMG,DQ1YVA,0
2024-09-08,GLMG,SD1,0
2024-09-08,GLMG,SD1A,0
2024-09-08,GLMG,SD1U,0
2024-09-08,GLMG,SD1UA,0
2024-09-08,GLMG,SD1V,0
2024-09-08,GLMG,SD1Y,0
2024-09-08,GLMG,SD1YV,0
2024-09-08,GLMG,SD2,0
2024-09-08,GLMG,SD2U,0
2024-09-08,GLMG,SD2V,0
2024-09-08,GLMG,SDT,0
2024-09-08,GLMG,SDTU,0
2024-09-08,GLMG,SDTV,0
2024-09-08,GLMG,SDTVA,0
2024-09-08,GLMG,SDTY,0
2024-09-08,GLMG,SK1A,0
2024-09-08,GLMG,ST2,0
2024-09-08,GLMG,ST2U,0
2024-09-08,GLMG,ST2V,0
2024-09-08,GLMG,ST2Y,0
2024-09-08,GLMG,ST2YV,0
2024-09-08,GLMG,XD2T,0
2024-09-08,GLMG,XD2TA,0
2024-09-08,GLMG,XKQYV,0
2024-09-09,GLMG,DK1,0
2024-09-09,GLMG,DK1V,0
2024-09-09,GLMG,DK1Y,0
2024-09-09,GLMG,DK1YV,0
2024-09-09,GLMG,DQ1,0
2024-09-09,GLMG,DQ1V,0
2024-09-09,GLMG,DQ1Y,0
2024-09-09,GLMG,DQ1YA,0
2024-09-09,GLMG,DQ1YV,0
2024-09-09,GLMG,DQ1YVA,0
2024-09-09,GLMG,SD1,0
2024-09-09,GLMG,SD1A,0
2024-09-09,GLMG,SD1U,0
2024-09-09,GLMG,SD1UA,0
2024-09-09,GLMG,SD1V,0
2024-09-09,GLMG,SD1Y,0
2024-09-09,GLMG,SD1YV,0
2024-09-09,GLMG,SD2,0
2024-09-09,GLMG,SD2U,0
2024-09-09,GLMG,SD2V,0
2024-09-09,GLMG,SDT,0
2024-09-09,GLMG,SDTU,0
2024-09-09,GLMG,SDTV,0
2024-09-09,GLMG,SDTVA,0
2024-09-09,GLMG,SDTY,0
2024-09-09,GLMG,SK1A,0
2024-09-09,GLMG,ST2,0
2024-09-09,GLMG,ST2U,0
2024-09-09,GLMG,ST2V,0
2024-09-09,GLMG,ST2Y,0
2024-09-09,GLMG,ST2YV,0
2024-09-09,GLMG,XD2T,0
2024-09-09,GLMG,XD2TA,0
2024-09-09,GLMG,XKQYV,0
2024-08-31,GLRS,CD2,0
2024-08-31,GLRS,CQ1,0
2024-08-31,GLRS,SD2,0
2024-08-31,GLRS,SD2M,0
2024-08-31,GLRS,SQ1,0
2024-08-31,GLRS,SQ1M,0
2024-08-31,GLRS,SQ1MA,0
2024-09-01,GLRS,CD2,0
2024-09-01,GLRS,CQ1,0
2024-09-01,GLRS,SD2,0
2024-09-01,GLRS,SD2M,0
2024-09-01,GLRS,SQ1,0
2024-09-01,GLRS,SQ1M,0
2024-09-01,GLRS,SQ1MA,0
